Magazin original,Magazin standard,Stradă standard,Localitate standard,Sector atribuit,Județ,Bazin comercial,Nr. clienți
Staer 7,Staer 7,Intrarea Pinului,Sector 6,Sector 6,București,Vest,1
Staer 7,Staer 7,Aleea Ea Lunguletu,Sector 2,Sector 2,București,Nord-Est,1
Staer 7,Staer 7,Aleea Magura Vulturului,Sector 2,Sector 2,București,Nord-Est,1
Staer 7,Staer 7,Lirei,Sector 2,Sector 2,București,Nord-Est,1
Staer 7,Staer 7,Șoseaua Mihai Bravu,Sector 2,Sector 2,București,Nord-Est,1
Staer 7,Staer 7,Aleea Brasoveni,Sector 2,Sector 2,București,Nord-Est,1
Staer 7,Staer 7,Bulevardul Lacul Tei,Sector 2,Sector 2,București,Nord-Est,1
Staer 7,Staer 7,Cristea Mateescu,Sector 2,Sector 2,București,Nord-Est,1
Staer 7,Staer 7,Liviu Rebreanu,București neatribuit,București neatribuit,București,București neatribuit,1
Staer 7,Staer 7,Maior Bacila,Sector 2,Sector 2,București,Nord-Est,1
Staer 7,Staer 7,Foisorului,Sector 3,Sector 3,București,Est,1
Staer 7,Staer 7,Mihai Bravu,București neatribuit,București neatribuit,București,București neatribuit,1
Staer 7,Staer 7,Ajustorului,Sector 6,Sector 6,București,Vest,1
Staer 7,Staer 7,Bulevardul Uverturii,Sector 6,Sector 6,București,Vest,1
Staer 7,Staer 7,Desrobirii,Sector 6,Sector 6,București,Vest,1
Staer 7,Staer 7,Rezervelor,Sector 6,Sector 6,București,Vest,1
Staer 7,Staer 7,Șoseaua Virtuții,Sector 6,Sector 6,București,Vest,1
Staer 7,Staer 7,Bulevardul Basarabiei,Sector 2,Sector 2,București,Nord-Est,1
Staer 7,Staer 7,Aleea Fizicienilor,Sector 3,Sector 3,București,Est,1
Staer 7,Staer 7,Drumul Gura Siriului,Sector 3,Sector 3,București,Est,1
Staer 7,Staer 7,Valea Buzaului,Sector 3,Sector 3,București,Est,1
Staer 7,Staer 7,Int. Odobesti,București neatribuit,București neatribuit,București,București neatribuit,1
Staer 7,Staer 7,Bulevardul Octavian Goga,Sector 3,Sector 3,București,Est,1
Staer 7,Staer 7,Vlad Voda,Sector 4,Sector 4,București,Sud,1
Staer 7,Staer 7,Aleea Sold. Nicolae Barbu,București neatribuit,București neatribuit,București,București neatribuit,1
Staer 7,Staer 7,Șoseaua Nicolae Titulescu,Sector 1,Sector 1,București,Nord,1
Staer 7,Staer 7,Prahova,București neatribuit,București neatribuit,București,București neatribuit,1
Staer 7,Staer 7,Apusului,Sector 6,Sector 6,București,Vest,1
Staer 7,Staer 7,Splaiul Aiul Unirii,București neatribuit,București neatribuit,București,București neatribuit,1
Staer 7,Staer 7,Erou Toma C-Tin,Sector 5,Sector 5,București,Sud-Vest,1
Staer 7,Staer 7,Aleea Dumbrava Noua,Sector 5,Sector 5,București,Sud-Vest,1
Staer 7,Staer 7,Ghrerghitei,Sector 5,Sector 5,București,Sud-Vest,1
Staer 7,Staer 7,Strada Buzoieni,Sector 5,Sector 5,București,Sud-Vest,1
Staer 7,Staer 7,Strada Oltina,Sector 5,Sector 5,București,Sud-Vest,1
Staer 7,Staer 7,Strada Slt Popa,Sector 5,Sector 5,București,Sud-Vest,1
Staer 7,Staer 7,Subloc. Popa,Sector 5,Sector 5,București,Sud-Vest,1
Staer 7,Staer 7,Calea Ea Ferentari,Sector 5,Sector 5,București,Sud-Vest,1
Staer 7,Staer 7,Contesti,Sector 5,Sector 5,București,Sud-Vest,1
Staer 7,Staer 7,Ion Nedeleanu,Sector 5,Sector 5,București,Sud-Vest,1
Staer 7,Staer 7,Strada Mihail Sebastian,Sector 5,Sector 5,București,Sud-Vest,1
Staer 7,Staer 7,Șoseaua Salaj,Sector 5,Sector 5,București,Sud-Vest,1
Staer 7,Staer 7,Sergent Nastase Pamfil,București neatribuit,București neatribuit,București,București neatribuit,1
Staer 7,Staer 7,Nicolae Sebe,Sector 3,Sector 3,București,Est,1
Staer 7,Staer 7,Aleea Ea Teiul Doamnei,Sector 2,Sector 2,București,Nord-Est,1
Staer 7,Staer 7,Cristea Mateescu,Sector 2,Sector 2,București,Nord-Est,1
Staer 7,Staer 7,Intrarea Teiul Doamnei,Sector 2,Sector 2,București,Nord-Est,1
Staer 7,Staer 7,Litovoi Voievod,Sector 2,Sector 2,București,Nord-Est,1
Staer 7,Staer 7,Fetesti,Sector 3,Sector 3,București,Est,1
Staer 7,Staer 7,Bulevardul Theodor Pallady,Sector 3,Sector 3,București,Est,1
Staer 7,Staer 7,Anastasie Panu,Sector 3,Sector 3,București,Est,1
Staer 7,Staer 7,Aleea Ea Barajul Sadului,Sector 3,Sector 3,București,Est,1
Staer 7,Staer 7,Aleea Ea Ion Agarbiceanu,Sector 3,Sector 3,București,Est,1
Staer 7,Staer 7,Aleea Ea Mizil,Sector 3,Sector 3,București,Est,1
Staer 7,Staer 7,Aleea Ea Mostistea,Sector 3,Sector 3,București,Est,1
Staer 7,Staer 7,Bulevardul Nicolae Grigorescu,Sector 3,Sector 3,București,Est,1
Staer 7,Staer 7,Bulevardul Pictor Nicolae Grigorescu,Sector 3,Sector 3,București,Est,1
Staer 7,Staer 7,Minis,Sector 3,Sector 3,București,Est,1
Staer 7,Staer 7,NECUNOSCUTĂ,Sector 3,Sector 3,București,Est,1
Staer 7,Staer 7,Sadului,Sector 3,Sector 3,București,Est,1
Staer 7,Staer 7,Strada Constantin Brâncuși,Sector 3,Sector 3,București,Est,1
Staer 7,Staer 7,Strada Jean Steriadi,Sector 3,Sector 3,București,Est,1
Staer 7,Staer 7,Tina Petre,Sector 3,Sector 3,București,Est,1
Staer 7,Staer 7,Plt Petre Ionescu,Sector 3,Sector 3,București,Est,1
Staer 7,Staer 7,Postasului,Sector 3,Sector 3,București,Est,1
Staer 7,Staer 7,Strada Vasile Lascăr,Sector 2,Sector 2,București,Nord-Est,1
Staer 7,Staer 7,Lucian Blaga,Sector 3,Sector 3,București,Est,1
Staer 7,Staer 7,Breaza,Sector 3,Sector 3,București,Est,1
Staer 7,Staer 7,Calea Ea Dudesti,Sector 3,Sector 3,București,Est,1
Staer 7,Staer 7,Foisorului,Sector 3,Sector 3,București,Est,1
Staer 7,Staer 7,Voineasa,Sector 3,Sector 3,București,Est,1
Staer 7,Staer 7,Bulevardul Basarabia,București neatribuit,București neatribuit,București,București neatribuit,1
Staer 7,Staer 7,Banul Antonache,Sector 1,Sector 1,București,Nord,1
Staer 7,Staer 7,Serbota,Sector 5,Sector 5,București,Sud-Vest,1
Staer 7,Staer 7,Nicolae Titulescu,Sector 1,Sector 1,București,Nord,1
Staer 7,Staer 7,Strada Clucerului,Sector 1,Sector 1,București,Nord,1
Staer 7,Staer 7,Frederic Joliot Curie,București neatribuit,București neatribuit,București,București neatribuit,1
Staer 7,Staer 7,Darmanesti,Sector 1,Sector 1,București,Nord,1
Staer 7,Staer 7,Drumul Cheile Turzii,Sector 4,Sector 4,București,Sud,1
Staer 7,Staer 7,Drumul Dealul Bistrii,Sector 4,Sector 4,București,Sud,1
Staer 7,Staer 7,Marica,Sector 4,Sector 4,București,Sud,1
Staer 7,Staer 7,Aleea Ciucea,Sector 3,Sector 3,București,Est,1
Staer 7,Staer 7,Șoseaua Aviatorilor,București neatribuit,București neatribuit,București,București neatribuit,1
Staer 7,Staer 7,Lecturii,Sector 2,Sector 2,București,Nord-Est,1
Staer 7,Staer 7,Nicolae Apostol,Sector 2,Sector 2,București,Nord-Est,1
Staer 7,Staer 7,Pescarilor,Sector 2,Sector 2,București,Nord-Est,1
Staer 7,Staer 7,Aleea Ea Boteni,Sector 6,Sector 6,București,Vest,1
Staer 7,Staer 7,Aleea Ea Compozitorilor,Sector 6,Sector 6,București,Vest,1
Staer 7,Staer 7,Aleea Raul Doamnei,Sector 6,Sector 6,București,Vest,1
Staer 7,Staer 7,Aleea Valea Rosie,Sector 6,Sector 6,București,Vest,1
Staer 7,Staer 7,Prelungirea Ungirea Ghencea,Sector 6,Sector 6,București,Vest,1
Staer 7,Staer 7,Valea Ialomitei,Sector 6,Sector 6,București,Vest,1
Staer 7,Staer 7,Silvestru,Sector 2,Sector 2,București,Nord-Est,1
Staer 7,Staer 7,Bulevardul Garii Obor,Sector 2,Sector 2,București,Nord-Est,1
Staer 7,Staer 7,Baba Novac,București neatribuit,București neatribuit,București,București neatribuit,1
Staer 7,Staer 7,Aleea Avrig,Sector 2,Sector 2,București,Nord-Est,1
Staer 7,Staer 7,Aleea Ea Giurgeni,Sector 3,Sector 3,București,Est,1
Staer 7,Staer 7,Plutonier Pazon Marin,Sector 3,Sector 3,București,Est,1
Staer 7,Staer 7,Margeanului,Sector 5,Sector 5,București,Sud-Vest,1
Staer 7,Staer 7,Aleea Diham,Sector 2,Sector 2,București,Nord-Est,1
Staer 7,Staer 7,Aleea Ea Cislau,Sector 2,Sector 2,București,Nord-Est,1
Staer 7,Staer 7,Aleea Mozaicului,Sector 2,Sector 2,București,Nord-Est,1
Staer 7,Staer 7,Aleea Pantelimon,Sector 2,Sector 2,București,Nord-Est,1
Staer 7,Staer 7,Cristescu Dima,Sector 2,Sector 2,București,Nord-Est,1
Staer 7,Staer 7,Timpa,Sector 2,Sector 2,București,Nord-Est,1
Staer 7,Staer 7,Int Moneasa,București neatribuit,București neatribuit,București,București neatribuit,1
Staer 7,Staer 7,Visarion,Sector 1,Sector 1,București,Nord,1
Staer 7,Staer 7,Poiana Narciselor,București neatribuit,București neatribuit,București,București neatribuit,1
Staer 7,Staer 7,Herta,Sector 2,Sector 2,București,Nord-Est,1
Staer 7,Staer 7,Bulevardul Unirii,București neatribuit,București neatribuit,București,București neatribuit,1
Staer 7,Staer 7,Stefan cel Mare,București neatribuit,București neatribuit,București,București neatribuit,1
Staer 7,Staer 7,Cristea Mateescu,Sector 2,Sector 2,București,Nord-Est,1
Staer 7,Staer 7,Deleni,Sector 2,Sector 2,București,Nord-Est,1
Staer 7,Staer 7,Judetului,Sector 2,Sector 2,București,Nord-Est,1
Staer 7,Staer 7,Strada Grigore Ionescu,Sector 2,Sector 2,București,Nord-Est,1
Staer 7,Staer 7,Valea Nucului,București neatribuit,București neatribuit,București,București neatribuit,1
Staer 7,Staer 7,Vrancioaia,Sector 2,Sector 2,București,Nord-Est,1
Staer 7,Staer 7,Bulevardul Theodor Pallady,Sector 3,Sector 3,București,Est,1
Staer 7,Staer 7,Elena Carageani,Sector 1,Sector 1,București,Nord,1
Staer 7,Staer 7,Șoseaua Pipera,Sector 1,Sector 1,București,Nord,1
Staer 7,Staer 7,Turda,Sector 1,Sector 1,București,Nord,1
Staer 7,Staer 7,Intrarea Area Nicolae Iorga,București neatribuit,București neatribuit,București,București neatribuit,1
Staer 7,Staer 7,Bulevardul Decebal,Sector 3,Sector 3,București,Est,1
Staer 7,Staer 7,Strada Agricultori,Sector 3,Sector 3,București,Est,1
Staer 7,Staer 7,Lucretiu Patrascanu,Sector 3,Sector 3,București,Est,1
Staer 7,Staer 7,Bucovina,Sector 3,Sector 3,București,Est,1
Staer 7,Staer 7,Andronache,Sector 2,Sector 2,București,Nord-Est,1
Staer 7,Staer 7,Barometrului,Sector 2,Sector 2,București,Nord-Est,1
Staer 7,Staer 7,Cuiului,Sector 2,Sector 2,București,Nord-Est,1
Staer 7,Staer 7,Bulevardul Gloriei,Sector 1,Sector 1,București,Nord,1
Staer 7,Staer 7,Șoseaua De Centura,Sector 4,Sector 4,București,Sud,1
Staer 7,Staer 7,Lirei,Sector 2,Sector 2,București,Nord-Est,1
Staer 7,Staer 7,Sincai,București neatribuit,București neatribuit,București,București neatribuit,1
Staer 7,Staer 7,Smardanului,București neatribuit,București neatribuit,București,București neatribuit,1
Staer 7,Staer 7,Bulevardul Timișoara,Sector 6,Sector 6,București,Vest,1
Staer 7,Staer 7,Arcului,București neatribuit,București neatribuit,București,București neatribuit,1
Staer 7,Staer 7,Strada Dristorului,Sector 3,Sector 3,București,Est,1
Staer 7,Staer 7,Strada Eufrosina Popescu,Sector 3,Sector 3,București,Est,1
Staer 7,Staer 7,Baicului,Sector 2,Sector 2,București,Nord-Est,1
Staer 7,Staer 7,Aleea Barajul Bicaz,Sector 3,Sector 3,București,Est,1
Staer 7,Staer 7,Danubiu,Sector 3,Sector 3,București,Est,1
Staer 7,Staer 7,Bulevardul Apicultorilor,Sector 1,Sector 1,București,Nord,1
Staer 7,Staer 7,Drumul Opalului,Sector 1,Sector 1,București,Nord,1
Staer 7,Staer 7,Padurii,Sector 1,Sector 1,București,Nord,1
Staer 7,Staer 7,Bulevardul C-Tin Brancoveanu,Sector 4,Sector 4,București,Sud,1
Staer 7,Staer 7,Bumbesti,Sector 1,Sector 1,București,Nord,1
Staer 7,Staer 7,Lemnarilor,Sector 1,Sector 1,București,Nord,1
Staer 7,Staer 7,Subcetate,Sector 1,Sector 1,București,Nord,1
Staer 7,Staer 7,Lac de Nuferi,București neatribuit,București neatribuit,București,București neatribuit,1
Staer 7,Staer 7,Marului,Sector 3,Sector 3,București,Est,1
Staer 7,Staer 7,Albatrosului,Sector 2,Sector 2,București,Nord-Est,1
Staer 7,Staer 7,Barbat Voievod,Sector 2,Sector 2,București,Nord-Est,1
Staer 7,Staer 7,Cimentului,Sector 2,Sector 2,București,Nord-Est,1
Staer 7,Staer 7,Cremenitei,Sector 2,Sector 2,București,Nord-Est,1
Staer 7,Staer 7,Ferastraului,Sector 2,Sector 2,București,Nord-Est,1
Staer 7,Staer 7,Ion Benidei,Sector 2,Sector 2,București,Nord-Est,1
Staer 7,Staer 7,Irimicului,Sector 2,Sector 2,București,Nord-Est,1
Staer 7,Staer 7,Lanului,Sector 2,Sector 2,București,Nord-Est,1
Staer 7,Staer 7,Nita Ene,Sector 2,Sector 2,București,Nord-Est,1
Staer 7,Staer 7,Pescarilor,Sector 2,Sector 2,București,Nord-Est,1
Staer 7,Staer 7,Plugusor,Sector 2,Sector 2,București,Nord-Est,1
Staer 7,Staer 7,Poiana cu Aluni,Sector 2,Sector 2,București,Nord-Est,1
Staer 7,Staer 7,Puietilor,Sector 2,Sector 2,București,Nord-Est,1
Staer 7,Staer 7,Radovanu,Sector 2,Sector 2,București,Nord-Est,1
Staer 7,Staer 7,Rascaoala 1907,Sector 2,Sector 2,București,Nord-Est,1
Staer 7,Staer 7,Rascoala 1907,Sector 2,Sector 2,București,Nord-Est,1
Staer 7,Staer 7,Ripiceni,Sector 2,Sector 2,București,Nord-Est,1
Staer 7,Staer 7,Sg Maj Simion Busuiioc,Sector 2,Sector 2,București,Nord-Est,1
Staer 7,Staer 7,Soldat Nita Ene,Sector 2,Sector 2,București,Nord-Est,1
Staer 7,Staer 7,Strada Maior Vasile Bacila,Sector 2,Sector 2,București,Nord-Est,1
Staer 7,Staer 7,Strada Mentiunii,Sector 2,Sector 2,București,Nord-Est,1
Staer 7,Staer 7,Strada Rascoala din 1907,Sector 2,Sector 2,București,Nord-Est,1
Staer 7,Staer 7,Teiul Doamnei,Sector 2,Sector 2,București,Nord-Est,1
Staer 7,Staer 7,Tomovici Stelian,Sector 2,Sector 2,București,Nord-Est,1
Staer 7,Staer 7,Vasile Bacila,Sector 2,Sector 2,București,Nord-Est,1
Staer 7,Staer 7,Șoseaua De Centura,Sector 2,Sector 2,București,Nord-Est,1
Staer 7,Staer 7,Calea Ea Crângași,Sector 6,Sector 6,București,Vest,1
Staer 7,Staer 7,Intrarea Pinului,Sector 6,Sector 6,București,Vest,1
Staer 7,Staer 7,Lt. Gheorghe Saidac,Sector 6,Sector 6,București,Vest,1
Staer 7,Staer 7,Luntrei,Sector 2,Sector 2,București,Nord-Est,1
Staer 7,Staer 7,Strada D-Na Ghica,Sector 2,Sector 2,București,Nord-Est,1
Staer 7,Staer 7,Vasile Stolnicu,Sector 2,Sector 2,București,Nord-Est,1
Staer 7,Staer 7,Zalelor,Sector 2,Sector 2,București,Nord-Est,1
Staer 7,Staer 7,Int Horbotei,Sector 3,Sector 3,București,Est,1
Staer 7,Staer 7,Niculae Sebe,Sector 3,Sector 3,București,Est,1
Staer 7,Staer 7,Aleea Adrian Carstea,Sector 3,Sector 3,București,Est,1
Staer 7,Staer 7,Aleea Ea Adrian Cirstea,Sector 3,Sector 3,București,Est,1
Staer 7,Staer 7,Bulevardul Camil Ressu,Sector 3,Sector 3,București,Est,1
Staer 7,Staer 7,Ramnicu Valcea,Sector 3,Sector 3,București,Est,1
Staer 7,Staer 7,Soldat Iosif Ion,Sector 3,Sector 3,București,Est,1
Staer 7,Staer 7,Soldat Spiridon Matei,Sector 3,Sector 3,București,Est,1
Staer 7,Staer 7,Strada Istriei,Sector 3,Sector 3,București,Est,1
Staer 7,Staer 7,Grl Dimitrie Salmen,București neatribuit,București neatribuit,București,București neatribuit,1
Staer 7,Staer 7,Stefan Mihaileanu,Sector 2,Sector 2,București,Nord-Est,1
Staer 7,Staer 7,Cantecului,Sector 2,Sector 2,București,Nord-Est,1
Staer 7,Staer 7,Strada Maior Vasile Bacila,Sector 2,Sector 2,București,Nord-Est,1
Staer 7,Staer 7,Strada Căminului,București neatribuit,București neatribuit,București,București neatribuit,1
Staer 7,Staer 7,Vasile Lucaci,București neatribuit,București neatribuit,București,București neatribuit,1
Staer 7,Staer 7,Maica Domnului,Sector 2,Sector 2,București,Nord-Est,1
Staer 7,Staer 7,Strada Mihai Eminescu,București neatribuit,București neatribuit,București,București neatribuit,1
Staer 7,Staer 7,Stefan cel Mare,Sector 3,Sector 3,București,Est,1
Staer 7,Staer 7,Panait Cerna,Sector 3,Sector 3,București,Est,1
Staer 7,Staer 7,Aleea Avrig,Sector 2,Sector 2,București,Nord-Est,1
Staer 7,Staer 7,Aleea Luncsoara,Sector 2,Sector 2,București,Nord-Est,1
Staer 7,Staer 7,Av. Tetrat,Sector 2,Sector 2,București,Nord-Est,1
Staer 7,Staer 7,Arh. Harjeu,Sector 3,Sector 3,București,Est,1
Staer 7,Staer 7,Bulevardul Basarabia,Sector 3,Sector 3,București,Est,1
Staer 7,Staer 7,Calea Ea Calarasilor,Sector 3,Sector 3,București,Est,1
Staer 7,Staer 7,Intrarea Area Sectorului,Sector 3,Sector 3,București,Est,1
Staer 7,Staer 7,Sapte Drumuri,Sector 3,Sector 3,București,Est,1
Staer 7,Staer 7,Șoseaua Mihai Bravu,Sector 3,Sector 3,București,Est,1
Staer 7,Staer 7,Șoseaua Olteniței,Sector 4,Sector 4,București,Sud,1
Staer 7,Staer 7,Mihai Bravu,Sector 2,Sector 2,București,Nord-Est,1
Staer 7,Staer 7,Bulevardul Dimitrie Pompei,Sector 2,Sector 2,București,Nord-Est,1
Staer 7,Staer 7,Erou Chivu Dumitru,București neatribuit,București neatribuit,București,București neatribuit,1
Staer 7,Staer 7,Aleea Patulului,Sector 3,Sector 3,București,Est,1
Staer 7,Staer 7,Patriotilor,Sector 3,Sector 3,București,Est,1
Staer 7,Staer 7,Vitioara,Sector 3,Sector 3,București,Est,1
Staer 7,Staer 7,Bulevardul Dimitrie Cantemir,Sector 4,Sector 4,București,Sud,1
Staer 7,Staer 7,Viorele,Sector 4,Sector 4,București,Sud,1
Staer 7,Staer 7,Aleea Emil Botta,București neatribuit,București neatribuit,București,București neatribuit,1
Staer 7,Staer 7,Bulevardul Mircea Vodă,Sector 3,Sector 3,București,Est,1
Staer 7,Staer 7,Vatra Luminoasa,Sector 2,Sector 2,București,Nord-Est,1
Staer 7,Staer 7,Scolii,București neatribuit,București neatribuit,București,București neatribuit,1
Staer 7,Staer 7,Tesatoarelor,Sector 2,Sector 2,București,Nord-Est,1
Staer 7,Staer 7,14,1 Dec-Gryn-City,—,Ilfov,Ilfov neatribuit,1
Staer 7,Staer 7,Cartier Green City,1 Decembrie,—,Ilfov,Sud,1
Staer 7,Staer 7,Strada Gloriei,1 Decembrie,—,Ilfov,Sud,1
Staer 7,Staer 7,Șoseaua Bucuresti-Giurgiu,1 Decembrie,—,Ilfov,Sud,1
Staer 7,Staer 7,Șoseaua Giurgiului,1 Decembrie,—,Ilfov,Sud,1
Staer 7,Staer 7,Tudor Arghezi,1 Decembrie,—,Ilfov,Sud,1
Staer 7,Staer 7,Borsec,1191,—,Ilfov,Ilfov neatribuit,1
Staer 7,Staer 7,Ghe. Doja,1191,—,Ilfov,Ilfov neatribuit,1
Staer 7,Staer 7,Lucian Blaga,1191,—,Ilfov,Ilfov neatribuit,1
Staer 7,Staer 7,Natiunile Unite,1191,—,Ilfov,Ilfov neatribuit,1
Staer 7,Staer 7,Potcoavei,1191,—,Ilfov,Ilfov neatribuit,1
Staer 7,Staer 7,Stefanesti de Jos,1191,—,Ilfov,Ilfov neatribuit,1
Staer 7,Staer 7,Șoseaua Gruiu Snagov,1191,—,Ilfov,Ilfov neatribuit,1
Staer 7,Staer 7,Alunului,Afumați,—,Ilfov,Nord-Est,1
Staer 7,Staer 7,Bacu,Afumați,—,Ilfov,Nord-Est,1
Staer 7,Staer 7,Binelui,Afumați,—,Ilfov,Nord-Est,1
Staer 7,Staer 7,Borsec,Afumați,—,Ilfov,Nord-Est,1
Staer 7,Staer 7,Bucuresti-Constanta,Afumați,—,Ilfov,Nord-Est,1
Staer 7,Staer 7,Caisului,Afumați,—,Ilfov,Nord-Est,1
Staer 7,Staer 7,D-Na Chiajna,Afumați,—,Ilfov,Nord-Est,1
Staer 7,Staer 7,Doamna Chiajna,Afumați,—,Ilfov,Nord-Est,1
Staer 7,Staer 7,Foscsani-Sau Baku,Afumați,—,Ilfov,Nord-Est,1
Staer 7,Staer 7,Ganeasa,Afumați,—,Ilfov,Nord-Est,1
Staer 7,Staer 7,Iasomiei,Afumați,—,Ilfov,Nord-Est,1
Staer 7,Staer 7,Imasului,Afumați,—,Ilfov,Nord-Est,1
Staer 7,Staer 7,Inului,Afumați,—,Ilfov,Nord-Est,1
Staer 7,Staer 7,Linia de Centura Dreapta,Afumați,—,Ilfov,Nord-Est,1
Staer 7,Staer 7,Linia de Centura Stanga,Afumați,—,Ilfov,Nord-Est,1
Staer 7,Staer 7,Liviu Rebreanu,Afumați,—,Ilfov,Nord-Est,1
Staer 7,Staer 7,Lotrului,Afumați,—,Ilfov,Nord-Est,1
Staer 7,Staer 7,Macului,Afumați,—,Ilfov,Nord-Est,1
Staer 7,Staer 7,Marasesti,Afumați,—,Ilfov,Nord-Est,1
Staer 7,Staer 7,Merilor,Afumați,—,Ilfov,Nord-Est,1
Staer 7,Staer 7,Mihail Sadoveanu,Afumați,—,Ilfov,Nord-Est,1
Staer 7,Staer 7,Mircea Eliade,Afumați,—,Ilfov,Nord-Est,1
Staer 7,Staer 7,Murelor,Afumați,—,Ilfov,Nord-Est,1
Staer 7,Staer 7,Negropontes,Afumați,—,Ilfov,Nord-Est,1
Staer 7,Staer 7,Petrachioaia,Afumați,—,Ilfov,Nord-Est,1
Staer 7,Staer 7,Sfantul Dumitru,Afumați,—,Ilfov,Nord-Est,1
Staer 7,Staer 7,Șoseaua Buc - Urziceni,Afumați,—,Ilfov,Nord-Est,1
Staer 7,Staer 7,Șoseaua Bucursti Urziceni,Afumați,—,Ilfov,Nord-Est,1
Staer 7,Staer 7,Șoseaua Stefanesti-Dispensarul Comunal,Afumați,—,Ilfov,Nord-Est,1
Staer 7,Staer 7,Șoseaua Urziceni,Afumați,—,Ilfov,Nord-Est,1
Staer 7,Staer 7,Trestiana,Afumați,—,Ilfov,Nord-Est,1
Staer 7,Staer 7,Zagazului,Ambasada Chinei,—,Ilfov,Ilfov neatribuit,1
Staer 7,Staer 7,Pipera,Ambiance Residence,—,Ilfov,Ilfov neatribuit,1
Staer 7,Staer 7,Aleea Iris,Balotești,—,Ilfov,Nord,1
Staer 7,Staer 7,Bulevardul Unirii,Balotești,—,Ilfov,Nord,1
Staer 7,Staer 7,Fabricii,Balotești,—,Ilfov,Nord,1
Staer 7,Staer 7,IC Bratianu,Balotești,—,Ilfov,Nord,1
Staer 7,Staer 7,Ion I.c.bratianu,Balotești,—,Ilfov,Nord,1
Staer 7,Staer 7,Islazului,Balotești,—,Ilfov,Nord,1
Staer 7,Staer 7,Raului,Balotești,—,Ilfov,Nord,1
Staer 7,Staer 7,Șoseaua Unirii,Balotești,—,Ilfov,Nord,1
Staer 7,Staer 7,Viselor,Balotești,—,Ilfov,Nord,1
Staer 7,Staer 7,Albatros,Berceni (Ilfov),—,Ilfov,Sud,1
Staer 7,Staer 7,Aviatorilor,Berceni (Ilfov),—,Ilfov,Sud,1
Staer 7,Staer 7,E VII,Berceni (Ilfov),—,Ilfov,Sud,1
Staer 7,Staer 7,Independentei,Berceni (Ilfov),—,Ilfov,Sud,1
Staer 7,Staer 7,Marasti,Berceni (Ilfov),—,Ilfov,Sud,1
Staer 7,Staer 7,NECUNOSCUTĂ,Berceni (Ilfov),—,Ilfov,Sud,1
Staer 7,Staer 7,Serelor,Berceni (Ilfov),—,Ilfov,Sud,1
Staer 7,Staer 7,Stefan cel Mare Intrarea Zambilelor,Berceni (Ilfov),—,Ilfov,Sud,1
Staer 7,Staer 7,Stefan cel Mare-Intr. Zambilelor,Berceni (Ilfov),—,Ilfov,Sud,1
Staer 7,Staer 7,Strada Eroilor,Berceni (Ilfov),—,Ilfov,Sud,1
Staer 7,Staer 7,Strada Trandafirilor,Berceni (Ilfov),—,Ilfov,Sud,1
Staer 7,Staer 7,Principala,Bradulesti,—,Ilfov,Ilfov neatribuit,1
Staer 7,Staer 7,Alunului,Bragadiru,—,Ilfov,Sud-Vest,1
Staer 7,Staer 7,Columnelor,Bragadiru,—,Ilfov,Sud-Vest,1
Staer 7,Staer 7,Dealului,Bragadiru,—,Ilfov,Sud-Vest,1
Staer 7,Staer 7,Florilor,Bragadiru,—,Ilfov,Sud-Vest,1
Staer 7,Staer 7,Plopului,Bragadiru,—,Ilfov,Sud-Vest,1
Staer 7,Staer 7,Rahovei,Bragadiru,—,Ilfov,Sud-Vest,1
Staer 7,Staer 7,Smarandului,Bragadiru,—,Ilfov,Sud-Vest,1
Staer 7,Staer 7,Șoseaua Clinceni,Bragadiru,—,Ilfov,Sud-Vest,1
Staer 7,Staer 7,Șoseaua Sabarului,Bragadiru,—,Ilfov,Sud-Vest,1
Staer 7,Staer 7,Verii,Bragadiru,—,Ilfov,Sud-Vest,1
Staer 7,Staer 7,Celofibrei,Bragadiru,—,Ilfov,Sud-Vest,1
Staer 7,Staer 7,Draganul,Bragadiru,—,Ilfov,Sud-Vest,1
Staer 7,Staer 7,Arad,Brănești,—,Ilfov,Est,1
Staer 7,Staer 7,Strada Ada Lotului,Brănești,—,Ilfov,Est,1
Staer 7,Staer 7,Agricultori,Brănești,—,Ilfov,Est,1
Staer 7,Staer 7,George Cosbuc,Brănești,—,Ilfov,Est,1
Staer 7,Staer 7,I.c Bratianu,Brănești,—,Ilfov,Est,1
Staer 7,Staer 7,Independentei,Brănești,—,Ilfov,Est,1
Staer 7,Staer 7,NECUNOSCUTĂ,Brănești,—,Ilfov,Est,1
Staer 7,Staer 7,Petre Ionel,Brănești,—,Ilfov,Est,1
Staer 7,Staer 7,Soldat Ionel Petre,Brănești,—,Ilfov,Est,1
Staer 7,Staer 7,Strada Violetelor,Brănești,—,Ilfov,Est,1
Staer 7,Staer 7,Victoriei,Brănești,—,Ilfov,Est,1
Staer 7,Staer 7,Bulevardul 1 Mai,București,—,Ilfov,Ilfov neatribuit,1
Staer 7,Staer 7,Natiunile Unite,București,—,Ilfov,Ilfov neatribuit,1
Staer 7,Staer 7,Prl Ghencea,București,—,Ilfov,Ilfov neatribuit,1
Staer 7,Staer 7,Rezervelor,București,—,Ilfov,Ilfov neatribuit,1
Staer 7,Staer 7,Icoanei,București Sectorul 2,—,Ilfov,Ilfov neatribuit,1
Staer 7,Staer 7,Aleea Ea Campului,Buftea,—,Ilfov,Nord,1
